Question,Answer
"Köpeği yürüyüşe çıkarmak"" İngilizcede nasıl ifade edilir?",Take the dog for a walk
"Üye"" kelimesinin İngilizce karşılığı nedir?",Member
"Gerekli"" anlamına gelen İngilizce kelime nedir?",Necessary
"Saygı"" kelimesinin İngilizce karşılığı nedir?",Respect
"Paylaşmak"" eyleminin İngilizce karşılığı nedir?",Share
"Hazırlamak"" kelimesinin İngilizce karşılığı nedir?",Prepare
"Trash"" kelimesinin Türkçe anlamı nedir?",Çöp
İngilizcede tavsiye veya öğüt verirken hangi yardımcı fiil kullanılır?,Should
Hangi modal yardımcı fiiller zorunlulukları (obligation) ifade etmek için kullanılır?,"Must, Have to, Has to"
"Yasakları (prohibition) belirtmek için kullanılan ""must"" yapısının olumsuz hali nedir?",Mustn't (must not)
Bir şeyin yapılmasının zorunlu olmadığını belirtmek için hangi yapılar kullanılır?,Don't have to veya Doesn't have to
"Have to"" yardımcı fiili hangi şahıs zamirleri (özneler) ile kullanılır?","I, You, We, They"
"Has to"" yardımcı fiili hangi şahıs zamirleri (özneler) ile kullanılır?","He, She, It"
"Kıyafetleri ütülemek benim sorumluluğumdur"" cümlesinin İngilizcesi nedir?",Ironing the clothes is my responsibility.
"Watering the flowers is my duty."" cümlesindeki ""duty"" kelimesinin Türkçe anlamı nedir?",Görev
"Bulaşıkları yıkamak benim görevimdir"" ifadesindeki ""görev"" kelimesi için ""duty"" dışında hangi kelime kullanılabilir?",Task
"İngilizcede ""like, dislike, hate, can't stand"" fiillerinden sonra gelen eylem hangi takıyı alır?",-ing takısı
"Halıyı süpürmeyi severim"" cümlesinin İngilizce karşılığı nedir?",I like vacuuming the carpet.
"Çamaşırları asmaktan nefret ederim"" cümlesinin İngilizce karşılığı nedir?",I hate hanging out the clothes.
"Mobilyaların tozunu almaya tahammül edemem"" cümlesinin İngilizce karşılığı nedir?",I can't stand dusting the furniture.
"Alışveriş yapmak zorunda değilim"" cümlesinin İngilizce karşılığı nedir?",I don't have to do shopping.
"O (erkek), pencereleri temizlemek zorunda değil"" cümlesinin İngilizce karşılığı nedir?",He doesn't have to clean the windows.
"Konuşmak için el kaldır"" okul kuralının İngilizcesi nedir?",Raise your hand to speak.
"Don't run in the corridors"" kuralının Türkçesi nedir?",Koridorlarda koşma.
"Sıranı temiz ve düzenli tut"" kuralının İngilizcesi nedir?",Keep your desk tidy and neat.
"Return books on time"" kütüphane kuralı ne anlama gelir?",Kitapları zamanında geri ver.
"Kütüphanede ""başkalarını rahatsız etme"" kuralı İngilizcede nasıl ifade edilir?",Don't disturb others.
"Keep quiet"" ifadesi kütüphane kurallarında ne anlama gelir?",Sessiz ol.
"Must"" yardımcı fiili hangi öznelerle kullanılabilir?","Tüm öznelerle (I, You, We, They, He, She, It) birlikte kullanılabilir."
"Tavsiye vermeme"" veya yapılmaması gereken bir durumdan bahsederken kullanılan yapı nedir?",Shouldn't (should not)
"Bulaşık makinesini doldurmak"" ifadesinin İngilizcesi nedir?",Load the dishwasher
"Mutfak kuralları"" anlamına gelen İngilizce tamlama nedir?",Kitchen rules
