Question,Answer
Asla fikrini değiştirmeyen (never changes his/her mind) kişi tipine ne denir?,STUBBORN (İnatçı)
Her zaman doğruyu söyleyen ve asla yalan söylemeyen (never tell a lie) kişi hangisidir?,HONEST (Dürüst)
Daima kendini düşünen ve asla paylaşmayan (never shares) kişilere ne denir?,SELFISH (Bencil)
Her zaman vaktinde gelen ve asla geç kalmayan (never come late) kişi hangisidir?,PUNCTUAL (Dakik)
Kolayca arkadaş edinen ve dışa dönük (makes friends easily) kişilere ne denir?,OUTGOING (Sosyal / Dışa dönük)
Daima şaka yapan ve etrafındakileri eğlendiren (always makes jokes) kişi hangisidir?,FUNNY (Eğlenceli / Komik)
Çalışmayı sevmeyen (doesn't like working) kişilere ne denir?,LAZY (Tembel)
Diğer insanlara para ve hediyeler veren (gives other people money and presents) kişi hangisidir?,GENEROUS (Cömert)
Hiçbir şeyini paylaşmayan (doesn't share anything) kişilere ne denir?,STINGY (Cimri)
Gerçek bir arkadaş (true friend) dürüst olmalı ve her zaman _____ söylemelidir.,doğruyu (truth)
"Gerçek bir arkadaş, arkadaşının sırlarını başkalarıyla asla _____.",paylaşmamalıdır (never share)
"Gülümsemek"" anlamına gelen fiil hangisidir?",smile
"Birlikte"" anlamına gelen kelime hangisidir?",together
"Tartışmak"" anlamına gelen İngilizce fiil nedir?",argue
"Uğramak, ziyaret etmek"" anlamında kullanılan phrasal verb hangisidir?",come over
"Kıskanç"" anlamına gelen sıfat hangisidir?",jealous
"Sadık"" anlamına gelen sıfat hangisidir?",loyal
"Güvenilir"" anlamına gelen ve Source 1'de yer alan iki sıfat nedir?","reliable, trustworthy"
"Neden olmasın?"" anlamına gelen kabul etme ifadesi hangisidir?",Why not?
"Kabul etmek"" anlamına gelen fiil hangisidir?",accept
"Reddetmek"" anlamına gelen fiil hangisidir?",refuse
"Sır tutmak"" ifadesinin İngilizcesi nedir?",keep secret
"Harika"" anlamına gelen ve kabul cümlelerinde sıkça kullanılan sıfat hangisidir?",great
"Daha fazla bilgi için kiminle iletişim kurabilirsin?"" sorusunun İngilizcesi nedir?",Who can you contact for more information?
"Davetiyedeki ""place"" başlığı neyi belirtir?",Etkinliğin yapılacağı yer veya mekân.
"Meşgul"" anlamına gelen sıfat hangisidir?",busy
"Dürüstlük"" (Honest) özelliğine sahip bir kişi asla _____ söylemez.",yalan (lie)
Arkadaşına ihtiyacı olduğunda her zaman orada olan (be there whenever his/her friend needs) kişi _____ bir arkadaştır.,true / supportive (doğru / destekleyici)
"Mezuniyet"" anlamına gelen kelime hangisidir?",graduation
"Mizah dolu, komik"" anlamına gelen sıfat hangisidir?",funny
"Sinemaya gitmeye ne dersin?"" cümlesinin ""How about"" kullanılarak kurulan İngilizcesi nedir?",How about going to the cinema?
"Dışarıda yemek yemek ister misin?"" sorusunun ""Do you want to"" ile kurulan İngilizcesi nedir?",Do you want to eat out?
"Neden birlikte bir film izlemiyoruz?"" sorusunun İngilizcesi nedir?",Why don't we watch a movie together?
"Davetiyelerde kullanılan ""Cheers"" ifadesi hangi kısımda yer alır?",Kapanış / Selamlama (Gönderen isminden önce).
"Susuz / Susamış"" anlamına gelen kelime hangisidir?",thirsty
"Yorgun"" anlamına gelen kelime hangisidir?",tired
"Destekleyici"" anlamına gelen sıfat hangisidir?",supportive
"Kaba"" anlamına gelen sıfat hangisidir?",rude
